
QFT total_time: 3.0, steps: 400, size: 4
Error = :7.07e-01; Runtime: 8970.0s; Iterations = 600, grads =   7.126e-06, unitary_metric = 1.00002
Error = :6.91e-01; Runtime: 10430.2s; Iterations = 700, grads =   7.418e-06, unitary_metric = 1.00002
Error = :6.77e-01; Runtime: 11887.8s; Iterations = 800, grads =   4.285e-06, unitary_metric = 1.00002
Error = :6.27e-01; Runtime: 13345.1s; Iterations = 900, grads =   1.660e-04, unitary_metric = 1.00000
Error = :5.22e-01; Runtime: 14801.8s; Iterations = 1000, grads =   3.246e-05, unitary_metric = 1.00000
Error = :4.89e-01; Runtime: 16261.2s; Iterations = 1100, grads =   1.931e-05, unitary_metric = 1.00000
Error = :4.63e-01; Runtime: 17718.1s; Iterations = 1200, grads =   2.032e-05, unitary_metric = 1.00000
Error = :4.41e-01; Runtime: 19174.4s; Iterations = 1300, grads =   1.277e-05, unitary_metric = 1.00000
Error = :4.26e-01; Runtime: 20630.8s; Iterations = 1400, grads =   8.610e-06, unitary_metric = 1.00000
Error = :4.14e-01; Runtime: 22087.3s; Iterations = 1500, grads =   3.502e-06, unitary_metric = 1.00000
Error = :4.06e-01; Runtime: 23543.4s; Iterations = 1600, grads =   5.374e-06, unitary_metric = 0.99999
Error = :4.00e-01; Runtime: 24999.9s; Iterations = 1700, grads =   1.288e-06, unitary_metric = 1.00000
Error = :3.97e-01; Runtime: 26456.1s; Iterations = 1800, grads =   1.963e-06, unitary_metric = 1.00000
Error = :3.94e-01; Runtime: 27912.0s; Iterations = 1900, grads =   4.525e-06, unitary_metric = 1.00000
Error = :3.91e-01; Runtime: 29368.2s; Iterations = 2000, grads =   5.115e-07, unitary_metric = 0.99999
Error = :3.89e-01; Runtime: 30824.1s; Iterations = 2100, grads =   3.687e-07, unitary_metric = 1.00000
Error = :3.88e-01; Runtime: 32279.8s; Iterations = 2200, grads =   2.942e-07, unitary_metric = 0.99999
Error = :3.86e-01; Runtime: 33735.8s; Iterations = 2300, grads =   2.401e-07, unitary_metric = 1.00000
Error = :3.85e-01; Runtime: 35191.2s; Iterations = 2400, grads =   2.956e-07, unitary_metric = 1.00000
